EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-12.956,-3.941,2.197,2.632,5.539,3.144,10.295,15.006,0.056,0.966,0.274,0.275,0.641,0.305,93.333,88903.000,1.000
-13.878,-7.452,3.884,3.273,1.899,-3.632,5.486,8.634,0.056,0.966,0.274,0.275,0.610,0.397,93.333,88904.000,1.000
-20.411,-9.802,4.488,3.091,-2.032,-10.088,-1.768,1.442,0.055,0.967,0.273,0.305,0.519,0.397,93.333,88905.000,1.000
-15.936,-8.923,4.193,1.882,-3.788,-13.018,-10.201,-5.239,0.055,0.969,0.274,0.305,0.702,0.275,93.333,88906.000,1.000
-5.216,-4.575,4.924,1.073,-1.131,-9.106,-13.501,-9.394,0.053,0.971,0.273,0.336,0.763,0.336,93.333,88907.000,1.000
-6.182,1.937,8.475,2.982,6.426,1.456,-7.017,-7.864,0.054,0.972,0.276,0.305,0.824,0.336,93.333,88908.000,1.000
-16.309,8.374,13.300,7.738,16.470,14.011,5.866,-0.904,0.053,0.974,0.274,0.244,0.793,0.336,93.333,88909.000,1.000
-17.092,11.024,14.467,11.398,23.127,21.577,14.863,3.894,0.053,0.976,0.275,0.153,0.885,0.336,93.333,88910.000,1.000
-9.382,7.365,9.489,9.956,22.046,20.416,13.328,0.434,0.050,0.975,0.279,0.092,0.854,0.305,93.333,88911.000,1.000
-13.472,-0.149,1.487,4.281,15.482,13.722,5.607,-6.916,0.049,0.979,0.276,0.000,0.885,0.122,93.333,88912.000,1.000
-30.593,-6.919,-6.279,-2.774,7.622,6.920,-0.519,-11.393,0.048,0.976,0.275,-0.061,0.732,0.061,93.333,88913.000,1.000
-38.453,-12.313,-14.191,-10.599,-1.115,1.543,-2.873,-12.507,0.049,0.976,0.274,-0.214,0.610,0.061,93.333,88914.000,1.000
-30.821,-17.390,-20.721,-16.782,-9.486,-2.944,-2.364,-10.393,0.051,0.973,0.274,-0.244,0.397,0.153,93.333,88915.000,1.000
-25.334,-19.252,-20.581,-16.094,-12.797,-5.969,0.063,-3.264,0.049,0.972,0.278,-0.183,0.427,0.122,93.333,88916.000,1.000
-29.280,-15.424,-13.669,-9.585,-11.068,-8.260,0.986,4.830,0.050,0.972,0.277,-0.275,0.305,0.061,93.333,88917.000,1.000
-31.790,-10.601,-7.830,-5.302,-11.011,-13.216,-3.658,5.950,0.050,0.971,0.277,-0.275,0.336,0.153,93.333,88918.000,1.000
-27.463,-10.025,-7.077,-5.131,-14.232,-20.824,-10.897,1.985,0.052,0.972,0.275,-0.305,0.305,0.183,93.333,88919.000,1.000
-23.465,-10.091,-5.573,-2.090,-13.063,-23.594,-11.014,4.019,0.052,0.970,0.274,-0.244,0.183,0.214,93.333,88920.000,1.000
-25.462,-5.140,0.853,5.472,-3.511,-15.407,-0.704,14.344,0.052,0.972,0.275,-0.244,0.061,0.153,93.333,88921.000,1.000
-28.531,2.432,7.278,10.508,8.271,-0.497,11.512,23.040,0.052,0.971,0.276,-0.305,-0.031,0.336,93.333,88922.000,1.000
-26.385,7.025,9.336,11.004,16.784,12.114,17.802,24.920,0.052,0.971,0.273,-0.092,0.061,0.397,93.333,88923.000,1.000
-24.623,8.504,10.689,13.211,24.167,19.159,20.122,25.065,0.052,0.968,0.276,-0.061,0.000,0.488,93.333,88924.000,1.000
-31.382,10.088,15.511,19.297,32.361,23.387,22.530,26.267,0.053,0.969,0.274,-0.092,-0.031,0.580,93.333,88925.000,1.000
-39.471,11.701,20.633,23.674,37.188,25.804,23.025,25.148,0.053,0.968,0.275,-0.183,-0.061,0.641,93.333,88926.000,1.000
-36.581,11.422,21.923,23.722,36.713,25.686,21.450,23.376,0.054,0.968,0.273,-0.183,-0.061,0.610,93.333,88927.000,1.000
-27.863,10.995,22.317,23.984,37.184,26.922,26.536,29.424,0.054,0.968,0.275,-0.275,-0.061,0.519,93.333,88928.000,1.000
-29.018,11.903,24.405,25.636,40.803,31.896,38.780,41.265,0.054,0.964,0.277,-0.214,-0.061,0.580,93.333,88929.000,1.000
-40.822,9.632,22.299,21.666,37.561,32.599,39.598,41.257,0.053,0.965,0.275,-0.183,0.031,0.610,93.333,88930.000,1.000
-48.462,0.636,10.938,8.227,20.693,21.588,18.717,21.291,0.055,0.965,0.275,-0.183,0.092,0.580,93.333,88931.000,1.000
-47.113,-11.052,-4.900,-9.091,-1.808,4.129,-8.183,-4.322,0.054,0.965,0.272,-0.183,0.031,0.549,93.333,88932.000,1.000
-47.862,-18.903,-16.879,-22.722,-18.572,-9.511,-23.400,-20.106,0.055,0.964,0.275,-0.214,0.153,0.427,93.333,88933.000,1.000
