EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-4.541,-4.615,0.157,2.256,-11.735,-10.568,-9.076,-1.757,0.021,0.972,0.261,-0.031,0.946,0.824,93.333,16553.000,1.000
-5.088,-10.821,-3.348,0.236,-12.117,-19.098,-15.576,-2.953,0.020,0.973,0.262,-0.092,0.763,0.854,93.333,16554.000,1.000
-8.826,-16.996,-8.254,-5.438,-9.142,-26.883,-20.935,-4.593,0.021,0.973,0.264,-0.214,0.641,0.824,93.333,16555.000,1.000
-12.653,-18.915,-9.213,-8.421,-10.771,-30.683,-24.577,-4.646,0.022,0.973,0.264,-0.122,0.641,0.885,93.333,16556.000,1.000
-10.017,-13.397,-3.979,-3.876,-11.023,-24.939,-17.753,2.526,0.020,0.973,0.264,-0.092,0.610,0.885,93.333,16557.000,1.000
-1.752,-4.757,2.037,2.892,-6.111,-13.413,-2.110,13.054,0.018,0.971,0.264,-0.031,0.549,0.824,93.333,16558.000,1.000
3.231,-1.823,1.559,2.369,-4.352,-8.930,5.450,13.965,0.019,0.970,0.266,0.122,0.549,0.671,93.333,16559.000,1.000
-1.178,-7.994,-6.309,-7.426,-11.116,-17.085,-5.562,-0.287,0.021,0.971,0.264,0.122,0.488,0.793,93.333,16560.000,1.000
-8.893,-16.242,-14.699,-18.595,-17.785,-27.891,-26.179,-20.593,0.022,0.972,0.264,-0.061,0.397,0.763,93.333,16561.000,1.000
-9.147,-16.473,-15.397,-21.776,-14.174,-27.672,-39.746,-34.045,0.023,0.974,0.261,0.092,0.397,0.763,93.333,16562.000,1.000
-2.685,-7.369,-7.380,-15.261,-5.002,-14.120,-38.014,-35.633,0.022,0.972,0.263,0.183,0.397,0.763,93.333,16563.000,1.000
1.821,3.985,2.993,-5.198,-2.379,4.099,-24.861,-27.627,0.023,0.971,0.264,0.153,0.244,0.824,93.333,16564.000,1.000
3.017,10.444,8.282,0.461,-6.151,16.237,-11.332,-16.457,0.025,0.972,0.263,0.214,0.275,0.824,93.333,16565.000,1.000
4.603,9.387,5.555,-1.334,-5.326,17.202,-5.662,-9.479,0.024,0.971,0.264,0.153,0.244,0.671,93.333,16566.000,1.000
